表格名称: 基本计划－说明摘要－保单年度展示直至受保人年满100岁当日或紧接之后的保单周年日(续)
================================================================================

保单年度终结	已缴总保费	现金价值总额_保证金额	现金价值总额_非保证金额_累积周年红利及累积利息	现金价值总额_非保证金额_终期红利	现金价值总额_总额	身故赔偿总额_保证金额	身故赔偿总额_非保证金额_累积周年红利及累积利息	身故赔偿总额_非保证金额_终期红利	身故赔偿总额_总额
--------------------------------------------------------------------------------
46	50000	68061	992	389436	458489	69000	992	388497	458489
47	50000	68560	1046	414690	484296	69000	1046	414250	484296
48	50000	69058	1103	441396	511557	69058	1103	441396	511557
49	50000	69557	1163	469632	540352	69557	1163	469632	540352
50	50000	70055	1224	499483	570762	70055	1224	499483	570762
51	50000	70554	1289	534262	606105	70554	1289	534262	606105
52	50000	71052	1356	571312	643720	71052	1356	571312	643720
53	50000	71551	1426	610780	683757	71551	1426	610780	683757
54	50000	72049	1500	652822	726371	72049	1500	652822	726371
55	50000	72548	1576	697607	771731	72548	1576	697607	771731
56	50000	73046	1655	745312	820013	73046	1655	745312	820013
57	50000	73545	1738	796130	871413	73545	1738	796130	871413
58	50000	74043	1824	850263	926130	74043	1824	850263	926130
59	50000	74542	1914	907927	984383	74542	1914	907927	984383
60	50000	75040	2008	969354	1046402	75040	2008	969354	1046402
61	50000	75539	2106	1030733	1108378	75539	2106	1030733	1108378
62	50000	76037	2208	1095802	1174047	76037	2208	1095802	1174047
63	50000	76536	2315	1164783	1243634	76536	2315	1164783	1243634
64	50000	77034	2425	1237908	1317367	77034	2425	1237908	1317367
65	50000	77533	2541	1315424	1395498	77533	2541	1315424	1395498
66	50000	78031	2662	1404466	1485159	78031	2662	1404466	1485159
67	50000	78530	2787	1499416	1580733	78530	2787	1499416	1580733
68	50000	79028	2918	1600672	1682618	79028	2918	1600672	1682618
69	50000	79527	3055	1708663	1791245	79527	3055	1708663	1791245
70	50000	80025	3197	1823856	1907078	80025	3197	1823856	1907078
71	50000	80524	3345	1940295	2024164	80524	3345	1940295	2024164
72	50000	81022	3500	2064055	2148577	81022	3500	2064055	2148577
73	50000	81521	3661	2195613	2280795	81521	3661	2195613	2280795
74	50000	82019	3829	2335483	2421331	82019	3829	2335483	2421331
75	50000	82518	4005	2484219	2570742	82518	4005	2484219	2570742
76	50000	83016	4187	2642418	2729621	83016	4187	2642418	2729621
77	50000	83515	4378	2810725	2898618	83515	4378	2810725	2898618
78	50000	84013	4576	2989838	3078427	84013	4576	2989838	3078427
79	50000	84512	4783	3180517	3269812	84512	4783	3180517	3269812
80	50000	85010	4999	3383591	3473600	85010	4999	3383591	3473600
81	50000	85509	5224	3596755	3687488	85509	5224	3596755	3687488
82	50000	86007	5459	3823752	3915218	86007	5459	3823752	3915218
83	50000	86506	5703	4065626	4157835	86506	5703	4065626	4157835
84	50000	87004	5958	4323531	4416493	87004	5958	4323531	4416493
85	50000	87503	6224	4598755	4692482	87503	6224	4598755	4692482
86	50000	88001	6501	4892737	4987239	88001	6501	4892737	4987239
87	50000	88500	6789	5207102	5302391	88500	6789	5207102	5302391
88	50000	88998	7090	5543693	5639781	88998	7090	5543693	5639781
89	50000	89497	7404	5904625	6001526	89497	7404	5904625	6001526
90	50000	89995	7731	6292338	6390064	89995	7731	6292338	6390064
91	50000	90494	8073	6690162	6788729	90494	8073	6690162	6788729

总行数: 46
